Titre du poste,Entreprise,Ville,Secteur,Contrat proposé,Niveau d'étude,Expérience,Compétences Techniques,Langues,Soft Skills,Lien de l'offre
Aiguebelle recrute 4 profils à Casablanca,Aiguebelle,Casablanca,"Agroalimentaire, Chimie, Logistique, Procédés",CDI,"Bac+2, bac+3, bac+5",5 ans,"5S, Excel, Kaizen, Lean","Français, Anglais","Autonomie, Initiative, Organisation, Relationnel, Rigueur, Réactivité, Travail en équipe, Travailler en équipe",https://www.dreamjob.ma/emploi/aiguebelle-recrute-4-profils-a-casablanca/
"Sanipak lance un recrutement en production, maintenance et finance",Non spécifié,Berrechid,Procédés,Non spécifié,"Bac+2, bac+3, bac+5",2 à 5 ans,Non spécifié,Non specifié,"Communication, Leadership, Organisation, Résolution de problèmes",https://www.dreamjob.ma/emploi/sanipak-lance-un-recrutement-en-production-maintenance-et-finance/
"LEONI recrute 5 profils à Agadir, Casablanca et Bouznika",LEONI,Casablanca,"Automobile, Logistique, Énergie",Non spécifié,Bac+5,2 à 5 ans,"Lean, Lean manufacturing","Français, Anglais","Communication, Gestion de projet",https://www.dreamjob.ma/emploi/leoni-recrute-5-profils-a-agadir-casablanca-et-bouznika/
"Recrutement Sonasid, 4 postes à pourvoir dès maintenant",Non spécifié,Jorf Lasfar,"Automobile, Construction",CDI,"Bac+2, bac+3, bac+5",50 ans,Non spécifié,Non specifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/recrutement-sonasid-4-postes-a-pourvoir-des-maintenant/
Recrutement en cours chez SCIF sur plusieurs chantiers,Non spécifié,Non spécifié,Construction,CDI,Bac+5,2 ans,Non spécifié,"Français, Anglais","Leadership, Rigueur",https://www.dreamjob.ma/emploi/recrutement-en-cours-chez-scif-sur-plusieurs-chantiers/
3 stages et 1 CDI à saisir chez Tractafric Equipment,Non spécifié,Casablanca,"Btp, Construction, Minier, Énergie",CDI,"Bac+4, bac+5",80 ans,Excel,"Français, Anglais","Autonomie, Communication, Créativité, Rigueur",https://www.dreamjob.ma/emploi/3-stages-et-1-cdi-a-saisir-chez-tractafric-equipment/
Maghreb Steel ouvre des opportunités en maintenance et énergie,Maghreb Steel,Casablanca,Énergie,Non spécifié,Bac+3,3 à 4 ans,"GMAO, Ms project, SAP",Non specifié,"Autonomie, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/maghreb-steel-ouvre-des-opportunites-en-maintenance-et-energie/
Postes en maintenance à saisir chez Stellantis à Kénitra dès maintenant,Non spécifié,Kénitra,Automobile,CDI,"Bac+2, bac+3",3 ans,GMAO,Non specifié,"Autonomie, Polyvalence, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/postes-en-maintenance-a-saisir-chez-stellantis-a-kenitra-des-maintenant/
Stages et emplois ouverts chez Structural Aerospace Morocco,Non spécifié,Non spécifié,"Aéronautique, Logistique",CDI,Non spécifié,2 à 5 ans,"ERP, SAP",Non specifié,"Autonomie, Leadership, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/stages-et-emplois-ouverts-chez-structural-aerospace-morocco/
Managem ouvre des postes clés dans le secteur minier,Managem,Non spécifié,Minier,Stage,Non spécifié,0 à 2 ans,Automatisme,Non specifié,"Innovation, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/managem-ouvre-des-postes-cles-dans-le-secteur-minier/
First Plastics ouvre plusieurs postes à Casablanca,First Plastics,Casablanca,Non spécifié,CDI,"Bac+3, bac+5",Non spécifié,Excel,Non specifié,"Autonomie, Communication, Initiative, Relationnel",https://www.dreamjob.ma/emploi/first-plastics-ouvre-plusieurs-postes-a-casablanca/
Liste des Convoqués Oral Concours ONCF 2025 (580 Techniciens Spécialisés),Non spécifié,Non spécifié,"Ferroviaire, Logistique, Énergie",Non spécifié,Bac+2,30 ans,Robotique,Non specifié,Autonomie,https://www.dreamjob.ma/emploi-public/liste-des-convoques-oral-concours-oncf-2025-580-techniciens-specialises/
Postes techniques ouverts chez Vetcam à Agadir,Non spécifié,Agadir,"Btp, Construction, Logistique",CDI,"Bac+2, bac+3",5 ans,Non spécifié,Non specifié,"Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/agadir/postes-techniques-ouverts-chez-vetcam-a-agadir/
Postes à saisir en conception automobile chez SEGULA Maroc,Non spécifié,Casablanca,"Automobile, Aéronautique, Ferroviaire, Énergie",CDI,Non spécifié,3 ans,"CAO, CATIA",Non specifié,"Innovation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/postes-a-saisir-en-conception-automobile-chez-segula-maroc/
Mint HR recrute un(e) Chargé(e) de Recrutement (CDI) – Casablanca,Mint HR,Casablanca,Non spécifié,CDI,"Bac+3, bac+5",Non spécifié,Non spécifié,Non specifié,"Autonomie, Communication, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/mint-hr-recrute-une-chargee-de-recrutement-cdi-casablanca/
Magasin d’Optique recrute une Vendeuse (Wifak Témara),Magasin d’Optique,Témara,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonome, Communication, Organisation, Organisé, Proactivité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/optique-recrute-une-vendeuse-sur-wifak-temara/
"Solevio recrute des Vendeurs Conventionnels CHR (Cafés, Hôtels, Restaurants) (Casablanca)",Solevio,Casablanca,Agroalimentaire,Non spécifié,Bac+2,3 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/solevio-recrute-vendeurs-conventionnels-chr-casablanca/
Grande campagne de recrutement Calliope: plusieurs postes à saisir partout au Maroc,Non spécifié,Non spécifié,"Automobile, Logistique",Stage,"Bac+2, bac+3, bac+4, bac+5",3 à 5 ans,Excel,"Français, Anglais, Arabe","Autonomie, Communication, Créativité, Gestion de projet, Initiative, Innovation, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/grande-campagne-de-recrutement-calliope-plusieurs-postes-a-saisir-partout-au-maroc/
Recrutement d’un Responsable des Opérations (Rabat),Non spécifié,Rabat,Non spécifié,CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/recrutement-dun-responsable-des-operations-rabat/
Juriste Junior,Non spécifié,Non spécifié,Non spécifié,CDI,Bac+5,Non spécifié,Non spécifié,"Français, Anglais","Communication, Organisation, Rigueur",https://www.dreamjob.ma/stage/minthr-recrute-juriste-junior-stage-casablanca/
ADM Value agrandit ses équipes à Rabat: découvrez nos offres en télévente et conseil,Non spécifié,Rabat,"Automobile, Énergie",CDI,Non spécifié,20 ans,Non spécifié,Français,"Autonomie, Communication, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/adm-value-recrute-plusieurs-profils/
Fondation Arrawaj recrute Plusieurs Profils (Tout le Maroc),Fondation Arrawaj,Non spécifié,Non spécifié,CDI,Bac+3,30 ans,Non spécifié,Non specifié,"Autonomie, Communication, Initiative, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/fondation-arrawaj-recrute-plusieurs-profils-tout-le-maroc/
Société de Construction Routière recrute un Responsable Matériel BTP à Salé,Société de Construction Routière,Salé,"Btp, Construction, Logistique",Non spécifié,Bac+5,5 ans,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/societe-de-construction-routiere-recrute-un-responsable-materiel-btp-a-sale/
Université Euromed de Fès recrute 16 nouveaux profils,Université Euromed de Fès,Fès,"Chimie, Recherche scientifique",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi/universite-euromed-de-fes-recrute-16-nouveaux-profils/
Recrutement de Rédacteurs Web Freelance en Télétravail,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais",Flexibilité,https://www.dreamjob.ma/emploi/start-up-recrute-des-redacteurs-web-freelance-en-teletravail/
Recrutement SIDEN 5 techniciens qualité et préparateurs,Non spécifié,Jorf Lasfar,"Construction, Procédés",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonomie, Organisation, Rigueur",https://www.dreamjob.ma/emploi/recrutement-siden-5-techniciens-qualite-et-preparateurs/
Safran ouvre plusieurs postes à Casablanca postulez dès maintenant,Safran,Casablanca,Aéronautique,CDI,"Bac+3, bac+5",Non spécifié,"5S, Excel, Lean, PPAP, SAP","Français, Anglais","Autonomie, Communication, Initiative, Innovation, Leadership, Organisation, Proactivité, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/safran-ouvre-plusieurs-postes-a-casablanca-postulez-des-maintenant/
Nouvelles offres d’emploi chez Simoldes Plastics profils qualifiés,Non spécifié,Non spécifié,"Automobile, Logistique, Procédés",CDI,"Bac+2, bac+5",3 ans,"Automatisme, Lean, Lean manufacturing, Robotique",Non specifié,"Autonomie, Communication, Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-simoldes-plastics-profils-qualifies/
Structural Aerospace Morocco ouvre une campagne de stages PFE à Casablanca,Structural Aerospace Morocco,Casablanca,"Aéronautique, Chimie",Stage,"Bac+2, bac+3, bac+5",Non spécifié,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/structural-aerospace-morocco-ouvre-une-campagne-de-stages-pfe-a-casablanca/
Opportunités de carrière chez Bel à Casablanca et Tanger,Non spécifié,Casablanca,Agroalimentaire,CDI,Bac+5,5 ans,"Automatisme, GMAO, Lean, SAP","Français, Anglais","Adaptabilité, Innovation, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/opportunites-de-carriere-chez-bel-a-casablanca-et-tanger/
7 Nouvelles offres d’emploi disponibles chez Ciments de l’Atlas,Non spécifié,Casablanca,"Btp, Construction, Procédés",CDI,"Bac+2, bac+3, bac+5",2 ans,"ERP, Modélisation","Français, Anglais","Autonomie, Communication, Initiative, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/7-nouvelles-offres-demploi-disponibles-chez-ciments-de-latlas/
SEWS CABIND ouvre plusieurs postes techniques à Berrechid,SEWS CABIND,Berrechid,"Automobile, Procédés",CDI,"Bac+2, bac+5",5 ans,"5S, AMDEC, Modélisation",Non specifié,"Communication, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/sews-cabind-ouvre-plusieurs-postes-techniques-a-berrechid/
Faurecia recrute des profils engineering pour ses activités à Rabat,Faurecia,Rabat,"Automobile, Procédés",CDI,"Bac+3, bac+5",Non spécifié,"PPAP, Python",Anglais,"Autonome, Communication, Gestion de projet",https://www.dreamjob.ma/emploi/faurecia-recrute-des-profils-engineering-pour-ses-activites-a-rabat/
Concours de Recrutement Marsa Maroc 2026 (3 Responsables Exploitation),Non spécifié,Non spécifié,Logistique,Non spécifié,Non spécifié,2 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-marsa-maroc-2026-3-responsables-exploitation/
Maghreb Steel ouvre 12 postes CDI,Maghreb Steel,Non spécifié,"Logistique, Procédés",CDI,"Bac+2, bac+3, bac+4, bac+5",3 ans,"Automatisme, Conception mécanique, ERP, Excel, GMAO, Ms project","Français, Anglais","Adaptabilité, Communication, Leadership, Organisation, Proactivité, Rigueur, Réactivité, Résolution de problèmes, Travail en équipe, Travailler en équipe",https://www.dreamjob.ma/emploi/maghreb-steel-ouvre-12-postes-cdi/
Concours de Recrutement Marsa Maroc 2025 (6 Techniciens de Maintenance),Non spécifié,Non spécifié,Logistique,Non spécifié,Non spécifié,Non spécifié,GMAO,Anglais,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-marsa-maroc-2025-6-techniciens-de-maintenance/
Varun Beverages Morocco recrute techniciens maintenance,Varun Beverages Morocco,Bouskoura,Agroalimentaire,Non spécifié,Bac+2,Non spécifié,5S,Non specifié,"Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/varun-beverages-morocco-recrute-techniciens-maintenance/
JTEKT Tanger plusieurs postes chargés méthodes à saisir,Non spécifié,Tanger,"Automobile, Procédés",Non spécifié,"Bac+3, bac+5",Non spécifié,"AMDEC, APQP","Français, Anglais","Communication, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/jtekt-tanger-plusieurs-postes-charges-methodes-a-saisir/
"Aéronautique, Safran ouvre des stages PFE 2026","Aéronautique, Safran",Non spécifié,Aéronautique,Stage,Non spécifié,Non spécifié,"Conception mécanique, Modélisation",Non specifié,Rigueur,https://www.dreamjob.ma/stage/aeronautique-safran-ouvre-des-stages-pfe-2026/
Concours de Recrutement SRM Fès-Meknès 2025 (80 Postes),Non spécifié,Meknès,Logistique,Non spécifié,"Bac+3, bac+5",5 à 10 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-srm-fes-meknes-2025-80-postes/
Liste des Convoqués Concours ONCF 2025 (580 Techniciens Spécialisés),Non spécifié,Non spécifié,"Ferroviaire, Logistique, Énergie",Non spécifié,Bac+2,30 ans,Robotique,Non specifié,Autonomie,https://www.dreamjob.ma/emploi-public/liste-des-convoques-concours-oncf-2025-580-techniciens-specialises/
Opportunités Marsa Maroc – plusieurs postes à pourvoir,Non spécifié,Non spécifié,Logistique,CDI,Bac+5,Non spécifié,"Automatisme, Excel, GMAO, Ms project",Non specifié,"Communication, Gestion de projet, Leadership, Rigueur, Réactivité",https://www.dreamjob.ma/emploi-public/opportunites-marsa-maroc-plusieurs-postes-a-pourvoir/
"Opportunités d’emploi chez SCIF, plusieurs postes à pourvoir dès maintenant",Non spécifié,Non spécifié,"Construction, Ferroviaire",Non spécifié,"Bac+2, bac+5",4 ans,"Autocad, ERP, Ms project, SOLIDWORKS",Anglais,"Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/opportunites-demploi-chez-scif-plusieurs-postes-a-pourvoir-des-maintenant/
AVL Maroc lance sa campagne de stages PFE à Rabat Technopolis,Non spécifié,Rabat,Automobile,Stage,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/stage/avl-maroc-lance-sa-campagne-de-stages-pfe-a-rabat-technopolis/
Concours Agrégation Education Formation 2026 (250 Postes),Non spécifié,Non spécifié,Chimie,Non spécifié,Non spécifié,45 ans,Non spécifié,Français,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-agregation-education-formation-2026/
Mint HR recrute un(e) Chargé(e) de Recrutement (CDI) – Casablanca,Mint HR,Casablanca,Non spécifié,CDI,"Bac+3, bac+5",Non spécifié,Non spécifié,Non specifié,"Autonomie, Communication, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/mint-hr-recrute-une-chargee-de-recrutement-cdi-casablanca/
Magasin d’Optique recrute une Vendeuse (Wifak Témara),Magasin d’Optique,Témara,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonome, Communication, Organisation, Organisé, Proactivité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/optique-recrute-une-vendeuse-sur-wifak-temara/
"Solevio recrute des Vendeurs Conventionnels CHR (Cafés, Hôtels, Restaurants) (Casablanca)",Solevio,Casablanca,Agroalimentaire,Non spécifié,Bac+2,3 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/solevio-recrute-vendeurs-conventionnels-chr-casablanca/
Grande campagne de recrutement Calliope: plusieurs postes à saisir partout au Maroc,Non spécifié,Non spécifié,"Automobile, Logistique",Stage,"Bac+2, bac+3, bac+4, bac+5",3 à 5 ans,Excel,"Français, Anglais, Arabe","Autonomie, Communication, Créativité, Gestion de projet, Initiative, Innovation, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/grande-campagne-de-recrutement-calliope-plusieurs-postes-a-saisir-partout-au-maroc/
Recrutement d’un Responsable des Opérations (Rabat),Non spécifié,Rabat,Non spécifié,CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/recrutement-dun-responsable-des-operations-rabat/
Juriste Junior,Non spécifié,Non spécifié,Non spécifié,CDI,Bac+5,Non spécifié,Non spécifié,"Français, Anglais","Communication, Organisation, Rigueur",https://www.dreamjob.ma/stage/minthr-recrute-juriste-junior-stage-casablanca/
ADM Value agrandit ses équipes à Rabat: découvrez nos offres en télévente et conseil,Non spécifié,Rabat,"Automobile, Énergie",CDI,Non spécifié,20 ans,Non spécifié,Français,"Autonomie, Communication, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/adm-value-recrute-plusieurs-profils/
Fondation Arrawaj recrute Plusieurs Profils (Tout le Maroc),Fondation Arrawaj,Non spécifié,Non spécifié,CDI,Bac+3,30 ans,Non spécifié,Non specifié,"Autonomie, Communication, Initiative, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/fondation-arrawaj-recrute-plusieurs-profils-tout-le-maroc/
Société de Construction Routière recrute un Responsable Matériel BTP à Salé,Société de Construction Routière,Salé,"Btp, Construction, Logistique",Non spécifié,Bac+5,5 ans,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/societe-de-construction-routiere-recrute-un-responsable-materiel-btp-a-sale/
Université Euromed de Fès recrute 16 nouveaux profils,Université Euromed de Fès,Fès,"Chimie, Recherche scientifique",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi/universite-euromed-de-fes-recrute-16-nouveaux-profils/
Recrutement de Rédacteurs Web Freelance en Télétravail,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais",Flexibilité,https://www.dreamjob.ma/emploi/start-up-recrute-des-redacteurs-web-freelance-en-teletravail/
Tractafric recherche des techniciens en maintenance Caterpillar,Non spécifié,Casablanca,"Btp, Énergie",Non spécifié,Bac+2,80 ans,Non spécifié,Non specifié,Rigueur,https://www.dreamjob.ma/emploi/tractafric-recherche-des-techniciens-en-maintenance-caterpillar/
Opportunités de stages PFE 2025 chez APM Terminals Tanger,Non spécifié,Tanger,Logistique,Stage,Bac+5,Non spécifié,Lean,"Français, Anglais","Autonomie, Communication, Innovation, Organisation",https://www.dreamjob.ma/stage/opportunites-de-stages-pfe-2025-chez-apm-terminals-tanger/
Recrutement SCIF: Postes d’Acheteurs Projets à saisir,Non spécifié,Non spécifié,"Ferroviaire, Procédés, Énergie",CDI,Non spécifié,1 an,Non spécifié,Anglais,"Innovation, Organisation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/recrutement-scif-postes-dacheteurs-projets-a-saisir/
Concours de Recrutement ONCF 2025 (641 Postes),Non spécifié,Non spécifié,"Construction, Ferroviaire, Logistique, Énergie",Non spécifié,"Bac+2, bac+5",30 ans,"Python, Robotique, SQL",Non specifié,"Autonomie, Gestion de projet, Initiative, Innovation, Rigueur",https://www.dreamjob.ma/emploi-public/concours-de-recrutement-oncf-2025-641-postes/
Inscription Concours ISMALA OFPPT 2025 Mécaniciens d’Entretien d’Aéronefs,Non spécifié,Nouaceur,"Aéronautique, Construction, Logistique",Non spécifié,Non spécifié,27 ans,"Automatisme, Robotique","Français, Anglais",Non spécifié,https://www.dreamjob.ma/orientation/inscription-concours-ismala-ofppt-2025-mecaniciens-dentretien-daeronefs/
"Rejoignez Atlas Pharm à Berrechid: opportunités en Assurance Qualité, Maintenance et Sécurité",Non spécifié,Berrechid,"Agroalimentaire, Pharmaceutique, Procédés",CDI,"Bac+2, bac+4, bac+5",5 ans,"Automatisme, Robotique",Non specifié,"Autonomie, Innovation, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/rejoignez-atlas-pharm-a-berrechid-opportunites-en-assurance-qualite-maintenance-et-securite/
SIDEN recrute des Préparateurs et Techniciens BE/BM – opportunité à saisir dès maintenant !,SIDEN,Non spécifié,"Construction, Procédés",Non spécifié,Non spécifié,1 an,Non spécifié,Non specifié,"Communication, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/siden-recrute-des-preparateurs-et-techniciens-be-bm-opportunite-a-saisir-des-maintenant/
IMA Casablanca lance une formation pré-embauche en partenariat avec Safran Electronics & Defense,Non spécifié,Casablanca,Aéronautique,Stage,Non spécifié,Non spécifié,Non spécifié,Français,"Initiative, Innovation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/formations/ima-casablanca-lance-une-formation-pre-embauche-en-partenariat-avec-safran-electronics-defense/
"Concours ONCF 2025: 580 techniciens spécialisés recherchés, postulez avant le 20 octobre",Non spécifié,Non spécifié,"Ferroviaire, Logistique, Énergie",Non spécifié,Bac+2,30 ans,Robotique,Non specifié,"Autonomie, Initiative, Innovation",https://www.dreamjob.ma/emploi-public/concours-oncf-2025-580-techniciens-specialises-recherches-postulez-avant-le-20-octobre/
Stellantis recherche des experts maintenance à Kénitra,Non spécifié,Kénitra,Automobile,Non spécifié,Bac+2,5 ans,"Automatisme, GMAO, Robotique",Français,"Autonomie, Innovation, Organisation, Polyvalence, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/stellantis-recherche-des-experts-maintenance-a-kenitra/
Bank Al-Maghrib recrute des techniciens maintenance à Salé. Postulez avant le 14 octobre 2025,Bank Al-Maghrib,Salé,Non spécifié,Non spécifié,Non spécifié,2 ans,Automatisme,Non specifié,"Autonomie, Rigueur, Réactivité",https://www.dreamjob.ma/emploi-public/bank-al-maghrib-recrute-des-techniciens-maintenance-a-sale-postulez-avant-le-14-octobre-2025/
Opportunité d’emploi: techniciens et préparateurs recherchés par SIDEN,Non spécifié,Non spécifié,Construction,Non spécifié,Non spécifié,1 an,Non spécifié,Non specifié,"Innovation, Rigueur",https://www.dreamjob.ma/emploi/opportunite-demploi-techniciens-et-preparateurs-recherches-par-siden/
Offre d’emploi à Tanger: Technicien Maintenance chez SUPRAJIT,Non spécifié,Tanger,Logistique,Non spécifié,Non spécifié,5 an,Automatisme,Non specifié,"Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/offre-demploi-a-tanger-technicien-maintenance-chez-suprajit/
Concours de Recrutement ONCF 2025 (37 Postes),Non spécifié,Non spécifié,Ferroviaire,CDI,Non spécifié,2 ans,Non spécifié,Non specifié,"Autonomie, Communication, Gestion de projet, Initiative, Innovation, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi-public/concours-de-recrutement-oncf-2025-37-postes/
LEONI Berrechid lance une campagne de stages: postulez maintenant,Non spécifié,Berrechid,"Automobile, Logistique, Procédés",Stage,Bac+2,Non spécifié,Non spécifié,Non specifié,Autonome,https://www.dreamjob.ma/stage/leoni-berrechid-lance-une-campagne-de-stages-postulez-maintenant/
"APM Terminals recrute: plusieurs postes en opérations, maintenance et achats",APM Terminals,Non spécifié,Logistique,CDI,Bac+3,5 ans,"ERP, Kaizen, Lean",Anglais,"Communication, Innovation, Travail en équipe",https://www.dreamjob.ma/emploi/apm-terminals-recrute-plusieurs-postes-en-operations-maintenance-et-achats/
Offres d’emploi à Kénitra et Tanger: découvrez les profils recherchés,Non spécifié,Kénitra,"Automobile, Logistique",CDI,"Bac+3, bac+5",3 ans,"ERP, Ms project, SAP","Français, Anglais","Communication, Gestion de projet",https://www.dreamjob.ma/emploi/offres-demploi-a-kenitra-et-tanger-decouvrez-les-profils-recherches/
Les Eaux Minérales d’Oulmès recrute: trois postes clés ouverts,Les Eaux Minérales d’Oulmès,Non spécifié,"Agroalimentaire, Logistique",Non spécifié,Bac+5,5 ans,"Kaizen, Lean",Non specifié,"Gestion de projet, Organisation",https://www.dreamjob.ma/emploi/les-eaux-minerales-doulmes-recrute-trois-postes-cles-ouverts/
Université Mundiapolis recrute: plusieurs postes d’enseignants et de soignants à Casablanca,Université Mundiapolis,Casablanca,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/universite-mundiapolis-recrute-plusieurs-postes-denseignants-et-de-soignants-a-casablanca/
Liste des Convoqués Concours ONCF 2025 (112 Postes),Non spécifié,Non spécifié,"Ferroviaire, Logistique, Procédés",Non spécifié,Non spécifié,35 ans,Non spécifié,"Français, Arabe","Communication, Innovation",https://www.dreamjob.ma/emploi-public/liste-des-convoques-concours-oncf-2025-112-postes/
Mint HR recrute un(e) Chargé(e) de Recrutement (CDI) – Casablanca,Mint HR,Casablanca,Non spécifié,CDI,"Bac+3, bac+5",Non spécifié,Non spécifié,Non specifié,"Autonomie, Communication, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/mint-hr-recrute-une-chargee-de-recrutement-cdi-casablanca/
Magasin d’Optique recrute une Vendeuse (Wifak Témara),Magasin d’Optique,Témara,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Autonome, Communication, Organisation, Organisé, Proactivité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/optique-recrute-une-vendeuse-sur-wifak-temara/
"Solevio recrute des Vendeurs Conventionnels CHR (Cafés, Hôtels, Restaurants) (Casablanca)",Solevio,Casablanca,Agroalimentaire,Non spécifié,Bac+2,3 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/solevio-recrute-vendeurs-conventionnels-chr-casablanca/
Grande campagne de recrutement Calliope: plusieurs postes à saisir partout au Maroc,Non spécifié,Non spécifié,"Automobile, Logistique",Stage,"Bac+2, bac+3, bac+4, bac+5",3 à 5 ans,Excel,"Français, Anglais, Arabe","Autonomie, Communication, Créativité, Gestion de projet, Initiative, Innovation, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/grande-campagne-de-recrutement-calliope-plusieurs-postes-a-saisir-partout-au-maroc/
Recrutement d’un Responsable des Opérations (Rabat),Non spécifié,Rabat,Non spécifié,CDI,Non spécifié,Non spécifié,Non spécifié,Non specifié,"Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/recrutement-dun-responsable-des-operations-rabat/
Juriste Junior,Non spécifié,Non spécifié,Non spécifié,CDI,Bac+5,Non spécifié,Non spécifié,"Français, Anglais","Communication, Organisation, Rigueur",https://www.dreamjob.ma/stage/minthr-recrute-juriste-junior-stage-casablanca/
ADM Value agrandit ses équipes à Rabat: découvrez nos offres en télévente et conseil,Non spécifié,Rabat,"Automobile, Énergie",CDI,Non spécifié,20 ans,Non spécifié,Français,"Autonomie, Communication, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/adm-value-recrute-plusieurs-profils/
Fondation Arrawaj recrute Plusieurs Profils (Tout le Maroc),Fondation Arrawaj,Non spécifié,Non spécifié,CDI,Bac+3,30 ans,Non spécifié,Non specifié,"Autonomie, Communication, Initiative, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/fondation-arrawaj-recrute-plusieurs-profils-tout-le-maroc/
Société de Construction Routière recrute un Responsable Matériel BTP à Salé,Société de Construction Routière,Salé,"Btp, Construction, Logistique",Non spécifié,Bac+5,5 ans,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/emploi/societe-de-construction-routiere-recrute-un-responsable-materiel-btp-a-sale/
Université Euromed de Fès recrute 16 nouveaux profils,Université Euromed de Fès,Fès,"Chimie, Recherche scientifique",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non specifié,Innovation,https://www.dreamjob.ma/emploi/universite-euromed-de-fes-recrute-16-nouveaux-profils/
