Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre
Postes à saisir chez Maghreb Steel à Casablanca,Non spécifié,Casablanca,"Construction, Énergie",Non spécifié,Bac+2,3 à 5 ans,"ERP, Excel",Non specifié,"Adaptabilité, Communication, Organisation, Rigueur, Réactivité, Résolution de problèmes",https://www.dreamjob.ma/emploi/postes-a-saisir-chez-maghreb-steel-a-casablanca/
Nouvelle Campagne de Recrutement à l’Université Euromed de Fès,Non spécifié,Fès,Recherche scientifique,Stage,Non spécifié,Non spécifié,Robotique,Non specifié,Innovation,https://www.dreamjob.ma/emploi/nouvelle-campagne-de-recrutement-a-luniversite-euromed-de-fes/
Postes à saisir chez Bertrandt à Tanger et Rabat,Non spécifié,Tanger,"Automobile, Aéronautique",CDI,Bac+5,Non spécifié,CFD,Anglais,"Autonomie, Communication, Gestion de projet, Initiative, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/postes-a-saisir-chez-bertrandt-a-tanger-et-rabat/
3 opportunités chez Managem dans le secteur minier,Non spécifié,Taroudant,"Minier, Énergie",Non spécifié,Non spécifié,3 à 5 ans,GMAO,Non specifié,"Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/3-opportunites-chez-managem-dans-le-secteur-minier/
Aiguebelle recrute 4 profils à Casablanca,Aiguebelle,Casablanca,"Agroalimentaire, Chimie, Logistique, Procédés",CDI,Bac+2,5 ans,"5S, Excel, Kaizen, Lean","Français, Anglais","Autonomie, Initiative, Organisation, Relationnel, Rigueur, Réactivité, Travail en équipe, Travailler en équipe",https://www.dreamjob.ma/emploi/aiguebelle-recrute-4-profils-a-casablanca/
"Sanipak lance un recrutement en production, maintenance et finance",Non spécifié,Berrechid,Procédés,Non spécifié,Bac+2,2 à 5 ans,Non spécifié,Non specifié,"Communication, Leadership, Organisation, Résolution de problèmes",https://www.dreamjob.ma/emploi/sanipak-lance-un-recrutement-en-production-maintenance-et-finance/
"LEONI recrute 5 profils à Agadir, Casablanca et Bouznika",LEONI,Casablanca,"Automobile, Logistique, Énergie",Non spécifié,Bac+5,2 à 5 ans,"Lean, Lean manufacturing","Français, Anglais","Communication, Gestion de projet",https://www.dreamjob.ma/emploi/leoni-recrute-5-profils-a-agadir-casablanca-et-bouznika/
Recrutement en cours chez SCIF sur plusieurs chantiers,Non spécifié,Non spécifié,Construction,CDI,Bac+5,2 ans,Non spécifié,"Français, Anglais","Leadership, Rigueur",https://www.dreamjob.ma/emploi/recrutement-en-cours-chez-scif-sur-plusieurs-chantiers/
Maghreb Steel ouvre des opportunités en maintenance et énergie,Maghreb Steel,Casablanca,Énergie,Non spécifié,Bac+3,3 à 4 ans,"GMAO, Ms project, SAP",Non specifié,"Autonomie, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/maghreb-steel-ouvre-des-opportunites-en-maintenance-et-energie/
Postes en maintenance à saisir chez Stellantis à Kénitra dès maintenant,Non spécifié,Kénitra,Automobile,CDI,Bac+2,3 ans,GMAO,Non specifié,"Autonomie, Polyvalence, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/postes-en-maintenance-a-saisir-chez-stellantis-a-kenitra-des-maintenant/
Stages et emplois ouverts chez Structural Aerospace Morocco,Non spécifié,Non spécifié,"Aéronautique, Logistique",CDI,Non spécifié,2 à 5 ans,"ERP, SAP",Non specifié,"Autonomie, Leadership, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/stages-et-emplois-ouverts-chez-structural-aerospace-morocco/
Managem ouvre des postes clés dans le secteur minier,Managem,Non spécifié,Minier,Stage,Non spécifié,0 à 2 ans,Automatisme,Non specifié,"Innovation, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/managem-ouvre-des-postes-cles-dans-le-secteur-minier/
First Plastics ouvre plusieurs postes à Casablanca,First Plastics,Casablanca,Non spécifié,CDI,Bac+3,Non spécifié,Excel,Non specifié,"Autonomie, Communication, Initiative, Relationnel",https://www.dreamjob.ma/emploi/first-plastics-ouvre-plusieurs-postes-a-casablanca/
Postes techniques ouverts chez Vetcam à Agadir,Non spécifié,Agadir,"Btp, Construction, Logistique",CDI,Bac+2,5 ans,Non spécifié,Non specifié,"Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/agadir/postes-techniques-ouverts-chez-vetcam-a-agadir/
Postes à saisir en conception automobile chez SEGULA Maroc,Non spécifié,Casablanca,"Automobile, Aéronautique, Ferroviaire, Énergie",CDI,Non spécifié,3 ans,"CAO, CATIA",Non specifié,"Innovation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/postes-a-saisir-en-conception-automobile-chez-segula-maroc/
Safran ouvre plusieurs postes à Casablanca postulez dès maintenant,Safran,Casablanca,Aéronautique,CDI,Bac+3,Non spécifié,"5S, Excel, Lean, PPAP, SAP","Français, Anglais","Autonomie, Communication, Initiative, Innovation, Leadership, Organisation, Proactivité, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/safran-ouvre-plusieurs-postes-a-casablanca-postulez-des-maintenant/
Nouvelles offres d’emploi chez Simoldes Plastics profils qualifiés,Non spécifié,Non spécifié,"Automobile, Logistique, Procédés",CDI,Bac+2,3 ans,"Automatisme, Lean, Lean manufacturing, Robotique",Non specifié,"Autonomie, Communication, Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-simoldes-plastics-profils-qualifies/
Structural Aerospace Morocco ouvre une campagne de stages PFE à Casablanca,Structural Aerospace Morocco,Casablanca,"Aéronautique, Chimie",Stage,Bac+2,Non spécifié,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/structural-aerospace-morocco-ouvre-une-campagne-de-stages-pfe-a-casablanca/
Opportunités de carrière chez Bel à Casablanca et Tanger,Non spécifié,Casablanca,Agroalimentaire,CDI,Bac+5,5 ans,"Automatisme, GMAO, Lean, SAP","Français, Anglais","Adaptabilité, Innovation, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/opportunites-de-carriere-chez-bel-a-casablanca-et-tanger/
7 Nouvelles offres d’emploi disponibles chez Ciments de l’Atlas,Non spécifié,Casablanca,"Btp, Construction, Procédés",CDI,Bac+2,2 ans,"ERP, Modélisation","Français, Anglais","Autonomie, Communication, Initiative, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/7-nouvelles-offres-demploi-disponibles-chez-ciments-de-latlas/
SEWS CABIND ouvre plusieurs postes techniques à Berrechid,SEWS CABIND,Berrechid,"Automobile, Procédés",CDI,Bac+2,5 ans,"5S, AMDEC, Modélisation",Non specifié,"Communication, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/sews-cabind-ouvre-plusieurs-postes-techniques-a-berrechid/
Faurecia recrute des profils engineering pour ses activités à Rabat,Faurecia,Rabat,"Automobile, Procédés",CDI,Bac+3,Non spécifié,"PPAP, Python",Anglais,"Autonome, Communication, Gestion de projet",https://www.dreamjob.ma/emploi/faurecia-recrute-des-profils-engineering-pour-ses-activites-a-rabat/
Maghreb Steel ouvre 12 postes CDI,Maghreb Steel,Non spécifié,"Logistique, Procédés",CDI,Bac+2,3 ans,"Automatisme, Conception mécanique, ERP, Excel, GMAO, Ms project","Français, Anglais","Adaptabilité, Communication, Leadership, Organisation, Proactivité, Rigueur, Réactivité, Résolution de problèmes, Travail en équipe, Travailler en équipe",https://www.dreamjob.ma/emploi/maghreb-steel-ouvre-12-postes-cdi/
Varun Beverages Morocco recrute techniciens maintenance,Varun Beverages Morocco,Bouskoura,Agroalimentaire,Non spécifié,Bac+2,Non spécifié,5S,Non specifié,"Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/varun-beverages-morocco-recrute-techniciens-maintenance/
JTEKT Tanger plusieurs postes chargés méthodes à saisir,Non spécifié,Tanger,"Automobile, Procédés",Non spécifié,Bac+3,Non spécifié,"AMDEC, APQP","Français, Anglais","Communication, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/jtekt-tanger-plusieurs-postes-charges-methodes-a-saisir/
"Aéronautique, Safran ouvre des stages PFE 2026","Aéronautique, Safran",Non spécifié,Aéronautique,Stage,Non spécifié,Non spécifié,"Conception mécanique, Modélisation",Non specifié,Rigueur,https://www.dreamjob.ma/stage/aeronautique-safran-ouvre-des-stages-pfe-2026/
Opportunités Marsa Maroc – plusieurs postes à pourvoir,Non spécifié,Non spécifié,Logistique,CDI,Bac+5,Non spécifié,"Automatisme, Excel, GMAO, Ms project",Non specifié,"Communication, Gestion de projet, Leadership, Rigueur, Réactivité",https://www.dreamjob.ma/emploi-public/opportunites-marsa-maroc-plusieurs-postes-a-pourvoir/
"Opportunités d’emploi chez SCIF, plusieurs postes à pourvoir dès maintenant",Non spécifié,Non spécifié,"Construction, Ferroviaire",Non spécifié,Bac+2,4 ans,"Autocad, ERP, Ms project, SOLIDWORKS",Anglais,"Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/opportunites-demploi-chez-scif-plusieurs-postes-a-pourvoir-des-maintenant/
Opportunités de stages PFE 2025 chez APM Terminals Tanger,Non spécifié,Tanger,Logistique,Stage,Bac+5,Non spécifié,Lean,"Français, Anglais","Autonomie, Communication, Innovation, Organisation",https://www.dreamjob.ma/stage/opportunites-de-stages-pfe-2025-chez-apm-terminals-tanger/
"Rejoignez Atlas Pharm à Berrechid: opportunités en Assurance Qualité, Maintenance et Sécurité",Non spécifié,Berrechid,"Agroalimentaire, Pharmaceutique, Procédés",CDI,Bac+2,5 ans,"Automatisme, Robotique",Non specifié,"Autonomie, Innovation, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/rejoignez-atlas-pharm-a-berrechid-opportunites-en-assurance-qualite-maintenance-et-securite/
Stellantis recherche des experts maintenance à Kénitra,Non spécifié,Kénitra,Automobile,Non spécifié,Bac+2,5 ans,"Automatisme, GMAO, Robotique",Français,"Autonomie, Innovation, Organisation, Polyvalence, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/stellantis-recherche-des-experts-maintenance-a-kenitra/
Bank Al-Maghrib recrute des techniciens maintenance à Salé. Postulez avant le 14 octobre 2025,Bank Al-Maghrib,Salé,Non spécifié,Non spécifié,Non spécifié,2 ans,Automatisme,Non specifié,"Autonomie, Rigueur, Réactivité",https://www.dreamjob.ma/emploi-public/bank-al-maghrib-recrute-des-techniciens-maintenance-a-sale-postulez-avant-le-14-octobre-2025/
Offre d’emploi à Tanger: Technicien Maintenance chez SUPRAJIT,Non spécifié,Tanger,Logistique,Non spécifié,Non spécifié,5 ans,Automatisme,Non specifié,"Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/offre-demploi-a-tanger-technicien-maintenance-chez-suprajit/
LEONI Berrechid lance une campagne de stages: postulez maintenant,Non spécifié,Berrechid,"Automobile, Logistique, Procédés",Stage,Bac+2,Non spécifié,Non spécifié,Non specifié,Autonome,https://www.dreamjob.ma/stage/leoni-berrechid-lance-une-campagne-de-stages-postulez-maintenant/
"APM Terminals recrute: plusieurs postes en opérations, maintenance et achats",APM Terminals,Non spécifié,Logistique,CDI,Bac+3,5 ans,"ERP, Kaizen, Lean",Anglais,"Communication, Innovation, Travail en équipe",https://www.dreamjob.ma/emploi/apm-terminals-recrute-plusieurs-postes-en-operations-maintenance-et-achats/
Offres d’emploi à Kénitra et Tanger: découvrez les profils recherchés,Non spécifié,Kénitra,"Automobile, Logistique",CDI,Bac+3,3 ans,"ERP, Ms project, SAP","Français, Anglais","Communication, Gestion de projet",https://www.dreamjob.ma/emploi/offres-demploi-a-kenitra-et-tanger-decouvrez-les-profils-recherches/
Les Eaux Minérales d’Oulmès recrute: trois postes clés ouverts,Les Eaux Minérales d’Oulmès,Non spécifié,"Agroalimentaire, Logistique",Non spécifié,Bac+5,5 ans,"Kaizen, Lean",Non specifié,"Gestion de projet, Organisation",https://www.dreamjob.ma/emploi/les-eaux-minerales-doulmes-recrute-trois-postes-cles-ouverts/
Industrie automobile: offres d’emploi chez Voltaira Morocco,Non spécifié,Non spécifié,Automobile,Non spécifié,Bac+4,5 ans,"5S, SPC","Français, Anglais","Gestion de projet, Innovation",https://www.dreamjob.ma/emploi/industrie-automobile-offres-demploi-chez-voltaira-morocco/
COFAT Maroc recrute des techniciens maintenance à Kénitra,COFAT Maroc,Kénitra,Automobile,Stage,Bac+2,Non spécifié,Non spécifié,"Français, Anglais","Autonome, Communication, Innovation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/cofat-maroc-recrute-des-techniciens-maintenance-a-kenitra/
L’UEMF lance une Grande Campagne de Recrutement (+50 Postes),Non spécifié,Fès,"Chimie, Recherche scientifique",Stage,Non spécifié,Non spécifié,Robotique,Non specifié,Innovation,https://www.dreamjob.ma/emploi/luemf-lance-une-grande-campagne-de-recrutement/
Carrière dans l’aéronautique: postulez chez SAM dès maintenant,Non spécifié,Non spécifié,"Aéronautique, Logistique, Procédés",CDI,Bac+2,Non spécifié,CATIA,Non specifié,"Innovation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/carriere-dans-laeronautique-postulez-chez-sam-des-maintenant/
SNEP recrute des profils expérimentés – Postulez dès maintenant,SNEP,Mohammedia,"Agroalimentaire, Automobile, Btp, Logistique",Non spécifié,Non spécifié,8 ans,Non spécifié,Non specifié,"Communication, Innovation",https://www.dreamjob.ma/emploi/snep-recrute-des-profils-experimentes-postulez-des-maintenant/
Groupe Dama recrute Plusieurs Profils pour son Client Fluoralpha,Groupe Dama,Non spécifié,"Chimie, Logistique, Procédés",Non spécifié,Bac+2,5 à 10 ans,"ERP, SAP","Français, Anglais, Arabe","Communication, Innovation, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/groupe-dama-recrute-plusieurs-profils-pour-son-client-fluoralpha/
(6) Offres d’emploi et stages PFE chez Saint-Gobain – Postulez dès maintenant,Non spécifié,Non spécifié,"Btp, Chimie, Construction, Procédés",Stage,Bac+5,0 à 2 ans,"ERP, SAP","Français, Anglais","Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/6-offres-demploi-et-stages-pfe-chez-saint-gobain-postulez-des-maintenant/
Gestamp recherche des Techniciens Outilleurs pour son site de Kénitra,Non spécifié,Kénitra,Automobile,Stage,Bac+3,Non spécifié,Non spécifié,Non specifié,"Innovation, Rigueur",https://www.dreamjob.ma/emploi/gestamp-recherche-des-techniciens-outilleurs-pour-son-site-de-kenitra/
JTEKT recrute des Chargés de Méthodes Assemblage à Tanger – Opportunité en CDI,JTEKT,Tanger,Automobile,CDI,Bac+3,3 ans,AMDEC,Non specifié,"Innovation, Leadership, Rigueur",https://www.dreamjob.ma/emploi/jtekt-recrute-des-charges-de-methodes-assemblage-a-tanger-opportunite-en-cdi/
Touax Maroc recrute: plusieurs postes ouverts en 2025,Touax Maroc,Non spécifié,"Btp, Construction, Logistique",Non spécifié,Bac+2,5 ans,"DAO, Excel, Lean, Six sigma",Non specifié,Communication,https://www.dreamjob.ma/emploi/touax-maroc-recrute-plusieurs-postes-ouverts-en-2025/
Nestlé recrute: 6 opportunités à pourvoir immédiatement,Nestlé,Non spécifié,"Agroalimentaire, Logistique",Non spécifié,Bac+2,2 ans,"Excel, SAP","Français, Anglais","Autonomie, Communication, Initiative, Innovation, Leadership, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/nestle-recrute-6-opportunites-a-pourvoir-immediatement/
Maghreb Industries recrute Plusieurs Profils sur Nouaceur,Maghreb Industries,Nouaceur,"Agroalimentaire, Logistique, Procédés",CDI,Bac+2,5 ans,"5S, Automatisme, ERP, Excel, Kaizen, Lean, Lean manufacturing","Français, Anglais","Autonomie, Innovation, Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/maghreb-industries-recrute-plusieurs-profils-sur-nouaceur/
STROC Industrie recrute des stagiaires PFE – Postulez maintenant !,STROC Industrie,Had soualem,Construction,Stage,Bac+4,Non spécifié,Non spécifié,Non specifié,"Créativité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/stage/stroc-industrie-recrute-des-stagiaires-pfe-postulez-maintenant/
Découvrez les (13) Opportunités de Stages et d’Emploi Offertes par Renault Group,Non spécifié,Casablanca,"Automobile, Logistique",Stage,Bac+5,Non spécifié,Non spécifié,Non specifié,Communication,https://www.dreamjob.ma/emploi/decouvrez-les-13-opportunites-de-stages-et-demploi-offertes-par-renault-group/
(7) Postes à Pourvoir chez SEGULA Technologies,Non spécifié,Tanger,"Automobile, Aéronautique, Ferroviaire, Logistique, Naval, Énergie",Non spécifié,Bac+5,5 ans,"CAO, CATIA, Creo, ERP, Excel","Français, Anglais","Communication, Gestion de projet, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/7-postes-a-pourvoir-chez-segula-technologies/
Nouveaux Postes Disponibles chez Eaton,Non spécifié,Casablanca,"Procédés, Énergie",Non spécifié,Bac+2,5 ans,"AMDEC, SOLIDWORKS",Anglais,"Autonomie, Communication, Créativité, Force de proposition, Organisation",https://www.dreamjob.ma/emploi/nouveaux-postes-disponibles-chez-eaton/
Nouvelle Vague de Postes Ouverts chez SEBN-Ma à Salé et Tanger,Non spécifié,Tanger,"Automobile, Construction",Non spécifié,Bac+2,2 ans,"Autocad, Conception mécanique","Français, Anglais","Communication, Initiative, Leadership, Organisation",https://www.dreamjob.ma/emploi/nouvelle-vague-de-postes-ouverts-chez-sebn-ma-a-sale-et-tanger/
Carrière chez Oulmès: Nouveaux Profils Recherchés,Non spécifié,Bouskoura,"Agroalimentaire, Logistique",Non spécifié,Bac+5,5 ans,"ERP, Kaizen, Lean",Non specifié,"Communication, Gestion de projet, Innovation, Résolution de problèmes, Travailler en équipe",https://www.dreamjob.ma/emploi/carriere-chez-oulmes-nouveaux-profils-recherches/
(7) Postes Disponibles chez Eaton,Non spécifié,Casablanca,"Aéronautique, Logistique, Procédés, Énergie",Non spécifié,Bac+2,1 à 3 ans,"AMDEC, CAO, CATIA, Conception mécanique, DAO, ERP, Excel, SOLIDWORKS","Français, Anglais","Autonome, Autonomie, Communication, Créativité, Flexibilité, Innovation, Leadership, Organisation, Polyvalence, Relationnel, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/7-postes-disponibles-chez-eaton/
Yazaki Ouvre ses Portes à (5) Nouveaux Profils,Yazaki,Tanger,"Automobile, Logistique",Non spécifié,Bac+5,1 ans,"APQP, Kaizen, SAP","Français, Anglais","Communication, Leadership, Organisation, Résolution de problèmes",https://www.dreamjob.ma/emploi/yazaki-ouvre-ses-portes-a-5-nouveaux-profils/
Opportunités de Carrière chez Gentis Recruitment,Non spécifié,Casablanca,"Automobile, Aéronautique, Construction, Ferroviaire, Procédés, Énergie",Non spécifié,Non spécifié,6 ans,"Autocad, Ms project",Non specifié,"Communication, Gestion de projet, Leadership",https://www.dreamjob.ma/emploi/opportunites-de-carriere-chez-gentis-recruitment/
NOMAC Recrute: Êtes-Vous Prêt Pour Le Défi ?,NOMAC,Ouarzazate,"Chimie, Énergie",Non spécifié,Non spécifié,5 à 7 ans,"Ms project, SAP","Anglais, Arabe","Communication, Organisation",https://www.dreamjob.ma/emploi/nomac-recrute-etes-vous-pret-pour-le-defi/
Rejoignez Stellantis en Tant que Technicien Maintenance,Non spécifié,Kénitra,"Automobile, Métallurgie",Non spécifié,Bac+2,3 ans,Robotique,Non specifié,Autonome,https://www.dreamjob.ma/emploi/rejoignez-stellantis-en-tant-que-technicien-maintenance/
STROC Industrie: Opportunités de carrière en CDI,Non spécifié,Casablanca,Construction,CDI,Bac+5,5 ans,Non spécifié,Non specifié,"Communication, Créativité, Innovation",https://www.dreamjob.ma/emploi/stroc-industrie-opportunites-de-carriere-en-cdi/
Stellantis Ouvre de Nouvelles Opportunités de Carrière !,Stellantis,Non spécifié,Automobile,Non spécifié,Bac+2,1 ans,Non spécifié,Non specifié,"Autonome, Communication, Organisation, Relationnel, Réactivité",https://www.dreamjob.ma/emploi/stellantis-ouvre-de-nouvelles-opportunites-de-carriere/
Opportunité de Carrière: Techniciens Méthode/Industrialisation chez Hutchinson,Non spécifié,Casablanca,"Aéronautique, Procédés",Non spécifié,Bac+2,Non spécifié,"Autocad, CATIA, Conception mécanique, SOLIDWORKS",Non specifié,Organisation,https://www.dreamjob.ma/emploi/opportunite-de-carriere-techniciens-methode-industrialisation-chez-hutchinson/
Découvrez la vague d’offres d’emploi chez SCIF (+9 postes disponibles) !,Non spécifié,Casablanca,"Construction, Ferroviaire, Procédés",CDI,Bac+2,2 ans,"Autocad, ERP, SOLIDWORKS",Anglais,"Autonomie, Communication, Gestion de projet, Organisation",https://www.dreamjob.ma/emploi/decouvrez-la-vague-doffres-demploi-chez-scif-9-postes-disponibles/
Stages et Emplois Disponibles chez Gestamp Maroc – Postulez Maintenant !,Non spécifié,Kénitra,Automobile,Stage,Bac+2,Non spécifié,SAP,Non specifié,Innovation,https://www.dreamjob.ma/emploi/stages-et-emplois-disponibles-chez-gestamp-maroc-postulez-maintenant/
Stellantis Recrute: Trouvez Votre Prochain Défi Professionnel,Stellantis,Rabat,"Automobile, Aéronautique",Non spécifié,Bac+2,1 ans,CAO,Non specifié,"Autonome, Communication, Gestion de projet, Organisation, Travail en équipe",https://www.dreamjob.ma/emploi/stellantis-recrute-trouvez-votre-prochain-defi-professionnel/
Intégrez Stellantis: Nouveaux Postes à Pourvoir,Non spécifié,Rabat,Automobile,Non spécifié,Bac+2,3 ans,CAO,Non specifié,"Autonome, Communication, Gestion de projet, Organisation, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/integrez-stellantis-nouveaux-postes-a-pourvoir/
Multisac recrute 3 Postes sur Casablanca,Multisac,Casablanca,Plasturgie,Non spécifié,Bac+3,5 ans,Non spécifié,"Français, Anglais","Communication, Innovation, Résolution de problèmes",https://www.dreamjob.ma/emploi/multisac-recrute-3-postes-sur-casablanca/
Auto Hall recrute des Responsables SAV sur Plusieurs Villes,Auto Hall,Non spécifié,"Automobile, Construction",CDI,Bac+5,2 à 5 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/auto-hall-recrute-des-responsables-sav-sur-plusieurs-villes/
Campagne de Recrutement chez SCIF,Non spécifié,Casablanca,"Construction, Ferroviaire",CDI,Bac+2,2 ans,"Autocad, ERP, SOLIDWORKS",Anglais,"Communication, Rigueur",https://www.dreamjob.ma/emploi/campagne-de-recrutement-chez-scif/
Plastic Omnium recrute Plusieurs Profils pour 2024,Plastic Omnium,Tanger,"Automobile, Logistique, Énergie",Non spécifié,Bac+2,2 à 5 ans,"5S, CATIA, Excel, SAP",Anglais,"Communication, Innovation, Travail en équipe, Travailler en équipe",https://www.dreamjob.ma/emploi/plastic-omnium-recrute-plusieurs-profils-pour-2024/
Auto Hall recrute des Responsables SAV Juniors,Auto Hall,Casablanca,"Automobile, Btp",CDI,Bac+5,2 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/auto-hall-recrute-responsables-sav/
Proma Group recrute des Techniciens Maintenance,Proma Group,Kénitra,"Automobile, Logistique",Non spécifié,Bac+2,2 ans,"Automatisme, Robotique",Non specifié,"Autonome, Communication, Innovation, Travailler en équipe",https://www.dreamjob.ma/emploi/proma-group-recrute-techniciens-maintenance/
Figeac Aero offre des Stages PFE dans Divers Spécialités,Non spécifié,Casablanca,"Aéronautique, Construction, Procédés",Stage,Non spécifié,Non spécifié,5S,Non specifié,Organisation,https://www.dreamjob.ma/stage/figeac-aero-offre-des-stages-pfe-dans-divers-specialites/
Stellantis recrute des Techniciens Hydrauliciens à Kénitra,Stellantis,Kénitra,"Automobile, Métallurgie",Non spécifié,Bac+2,5 ans,Robotique,Non specifié,Autonome,https://www.dreamjob.ma/emploi/stellantis-recrute-techniciens-hydrauliciens/
Simoldes Plasticos recrute des Stagiaires dans Plusieurs Domaines,Simoldes Plasticos,Kénitra,"Automobile, Plasturgie",Stage,Bac+2,Non spécifié,Non spécifié,Non specifié,Organisation,https://www.dreamjob.ma/stage/simoldes-plasticos-recrute-des-stagiaires-dans-plusieurs-domaines/
Stellantis recrute des Techniciens Mise au Point à Kénitra,Stellantis,Kénitra,"Automobile, Métallurgie",Stage,Bac+2,10 ans,Non spécifié,Non specifié,Autonome,https://www.dreamjob.ma/emploi/stellantis-recrute-techniciens-mise-au-point/
Sonasid recrute Plusieurs Profils,Sonasid,Jorf lasfar,"Btp, Construction",Non spécifié,Bac+5,5 ans,Non spécifié,Non specifié,Non spécifié,https://www.dreamjob.ma/emploi/sonasid-recrute-plusieurs-profils-2023/
Saint Gobain recrute pour Divers Postes,Saint Gobain,Kénitra,"Construction, Énergie",Non spécifié,Bac+2,2 ans,Automatisme,"Français, Anglais",Communication,https://www.dreamjob.ma/emploi/saint-gobain-recrute-pour-divers-postes/
UM6P recrute des Formateurs,UM6P,Benguerir,Procédés,Stage,Non spécifié,2 ans,Non spécifié,Non specifié,"Adaptabilité, Communication, Innovation, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/um6p-recrute-formateurs/
Nexteer Automotive recrute pour ces 3 Postes,Nexteer Automotive,Kénitra,"Automobile, Logistique",Non spécifié,Bac+5,2 à 3 ans,Non spécifié,Non specifié,"Communication, Innovation, Organisation",https://www.dreamjob.ma/emploi/nexteer-automotive-recrute-pour-ces-3-postes/
Plusieurs Postes à Pourvoir chez Proma Group,Non spécifié,Kénitra,"Automobile, Logistique",Non spécifié,Bac+2,5 ans,"Automatisme, Robotique","Français, Anglais",Innovation,https://www.dreamjob.ma/emploi/plusieurs-postes-a-pourvoir-chez-proma-group/
L’African Academy of Industrial Training de l’UM6P recrute des Formateurs,L’African Academy of Industrial Training de l’UM6P,Non spécifié,"Construction, Procédés",Non spécifié,Bac+4,2 à 3 ans,Automatisme,Non specifié,"Autonomie, Communication, Innovation, Leadership, Organisation, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/aait-recrute-formateurs/
Nouvelles Offres d’Emploi chez JTEKT,Non spécifié,Tanger,Automobile,CDI,Bac+2,2 ans,AMDEC,"Français, Anglais","Communication, Rigueur",https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-jtekt/
Campagne de Recrutement chez Ingelec,Non spécifié,Casablanca,"Plasturgie, Énergie",Non spécifié,Bac+2,2 ans,Automatisme,Non specifié,"Créativité, Innovation, Proactivité, Rigueur",https://www.dreamjob.ma/emploi/campagne-recrutement-ingelec/
SNEP recrute Plusieurs Profils 2023,SNEP,Mohammedia,"Agroalimentaire, Automobile, Btp, Procédés",Non spécifié,Non spécifié,1 ans,Non spécifié,"Français, Anglais, Arabe",Communication,https://www.dreamjob.ma/emploi/snep-recrute-plusieurs-profils/
Nouvelles Offres d’Emploi chez Aiguebelle 2023,Non spécifié,Non spécifié,"Agroalimentaire, Procédés",Non spécifié,Bac+2,5 ans,"Modélisation, SQL",Non specifié,"Communication, Créatif, Créativité, Résolution de problèmes, Travailler en équipe",https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-aiguebelle-2023/
Campagne de Recrutement Nexteer Automotive 2023,Non spécifié,Non spécifié,"Automobile, Aéronautique, Logistique, Métallurgie, Procédés",Stage,Bac+2,2 à 3 ans,APQP,"Français, Anglais","Autonomie, Communication, Innovation",https://www.dreamjob.ma/emploi/campagne-recrutement-nexteer-automotive-2023/
